user_id,email,username,profile,kc_id,item_id,item_type,item_title,correct,attempt_num,timestamp
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,c32fa1b4-e57f-4a5d-be68-61d9ebd783c8,LESSON,Cập nhật ví tiết kiệm,0,1,2026-07-10T22:05:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,c32fa1b4-e57f-4a5d-be68-61d9ebd783c8,LESSON,Cập nhật ví tiết kiệm,0,2,2026-07-10T22:20:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,c32fa1b4-e57f-4a5d-be68-61d9ebd783c8,LESSON,Cập nhật ví tiết kiệm,0,3,2026-07-10T22:44:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,1e90a49a-d0ae-47de-b015-23111a1c0307,LESSON,Tính lũy thừa cơ số 2,0,1,2026-07-10T23:15:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,1e90a49a-d0ae-47de-b015-23111a1c0307,LESSON,Tính lũy thừa cơ số 2,0,2,2026-07-10T23:38:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,1e90a49a-d0ae-47de-b015-23111a1c0307,LESSON,Tính lũy thừa cơ số 2,1,3,2026-07-10T23:58:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,ea54caa5-973d-4442-943b-53f5da0a81db,LESSON,Sử dụng lệnh in cơ bản,1,1,2026-07-11T00:28:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,c19d86ff-b3d0-4715-a3cc-e47e4e87adca,LESSON,Chào hỏi người dùng,1,1,2026-07-11T00:54:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,04012155-d984-44c0-ae9f-b7b230439a6f,LESSON,Viết chú thích và in nhiều dòng,1,1,2026-07-11T01:11:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,94dcb48a-0b77-4dfb-90a4-e16e3ada0095,LESSON,Chia kẹo giảm dần,1,1,2026-07-11T01:29:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,d7b08717-c013-4d95-9a26-b5e3a09407ce,LESSON,Khai báo biến cơ bản,1,1,2026-07-11T01:54:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,0e4eec18-708b-47c8-9544-49ef6df88643,LESSON,Chú thích phép tính,1,1,2026-07-11T02:01:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,598dfd2c-fafb-4662-9fe3-49da22cb2816,LESSON,Ghép tuổi của bạn,1,1,2026-07-11T02:06:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,4c1d6622-c337-4f9e-9f29-f518e1e95a28,LESSON,In thông điệp lập trình,1,1,2026-07-11T02:25:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,00850ac8-d296-4176-a1d7-b6133ca7ea70,LESSON,Chương trình Hello World,0,1,2026-07-11T02:34:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,00850ac8-d296-4176-a1d7-b6133ca7ea70,LESSON,Chương trình Hello World,1,2,2026-07-11T02:57:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,6fe74aac-76ed-4c3c-aecd-f9c1743b816b,LESSON,Kiểm tra kiểu dữ liệu với type(),1,1,2026-07-11T03:07:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,bd0583ec-2614-43e1-a4c7-4e6b8e553a92,LESSON,Cộng thêm 100,1,1,2026-07-11T03:14:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,fad6e63f-d7fe-4ba4-a49d-a76327e3df40,LESSON,Tính toán hóa đơn áo thun,1,1,2026-07-11T03:33:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,f5385ac9-4c61-42eb-a5dc-97fdd8bbe4ac,LESSON,Tính chu vi diện tích hình chữ nhật,1,1,2026-07-11T03:38:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,10799eb6-c6c9-4704-91dd-52df29fbd46d,LESSON,Tính tổng hai số thực,1,1,2026-07-11T04:06:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,7c336393-d178-4869-8e99-9305d8aff589,LESSON,In các từ nối bằng dấu gạch ngang,1,1,2026-07-11T04:29:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,cecfb972-655d-4ad0-bd76-8a1abf1e921d,LESSON,Chào mừng bạn đến với Python,1,1,2026-07-11T04:57:09.444607
student_001,mock_student_001@learnpython.edu,Học viên Mô phỏng 001,STRUGGLING,KC_VAR,5d831505-89ba-4964-9039-84b4dfcda3d7,LESSON,Định dạng ngày xuất bản,1,1,2026-07-11T05:07:09.444607
